model,outcome,dropped_drug,beta1_drop,beta1_original,sign_stable
lira_trained,MAE_nct,Exenatide,2.010254501768145,2.951045267084302,True
lira_trained,MAE_nct,Medi0382,1.2430594960992758,2.951045267084302,True
lira_trained,MAE_nct,Semaglutide,2.9217867154987447,2.951045267084302,True
lira_trained,MAE_nct,Survodutide,2.928510488520768,2.951045267084302,True
lira_trained,MAE_nct,Tirzepatide,4.828878983222914,2.951045267084302,True
lira_trained,MAE_nct,canagliflozin,2.951045267084302,2.951045267084302,True
lira_trained,MAE_nct,metformin,2.951045267084302,2.951045267084302,True
lira_trained,MAE_nct,naltrexone,2.951045267084302,2.951045267084302,True
lira_trained,MAE_nct,orlistat,2.951045267084302,2.951045267084302,True
lira_trained,MAE_nct,phentermine,2.951045267084302,2.951045267084302,True
lira_trained,MAE_reduction_pct_nct,Exenatide,25.394484253922037,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,Medi0382,13.597986329216738,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,Semaglutide,34.146454110158885,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,Survodutide,35.80098534374573,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,Tirzepatide,48.45366356830737,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,canagliflozin,33.82852155447498,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,metformin,33.82852155447498,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,naltrexone,33.82852155447498,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,orlistat,33.82852155447498,33.82852155447498,True
lira_trained,MAE_reduction_pct_nct,phentermine,33.82852155447498,33.82852155447498,True
lira_trained,R2_nct,Exenatide,-0.007008632156551392,-0.6688252436750021,True
lira_trained,R2_nct,Medi0382,-2.542393407921665,-0.6688252436750021,True
lira_trained,R2_nct,Semaglutide,-0.7047685354978157,-0.6688252436750021,True
lira_trained,R2_nct,Survodutide,-0.5861273462017867,-0.6688252436750021,True
lira_trained,R2_nct,Tirzepatide,-0.8725719281895792,-0.6688252436750021,True
lira_trained,R2_nct,canagliflozin,-0.6688252436750021,-0.6688252436750021,True
lira_trained,R2_nct,metformin,-0.6688252436750021,-0.6688252436750021,True
lira_trained,R2_nct,orlistat,-0.6688252436750021,-0.6688252436750021,True
lira_trained,R2_nct,phentermine,-0.6688252436750021,-0.6688252436750021,True
