preclinical_arm_id,pmcid,preclinical_dosage_amount_value(mg/kg),preclinical_dosage_frequency,preclinical_dosage_duration(days),preclinical_administration_route,preclinical_animal_age_before_experiment(days),preclinical_animal_age_before_treatment(days),preclinical_animal_weight_before_experiment(grams),preclinical_animal_weight_before_treatment(grams),preclinical_animal_strain,preclinical_animal_species,preclinical_animal_sex,preclinical_animal_subject_size,preclinical_disease_model,preclinical_outcome,preclinical_total_doses,preclinical_total_dosage_amount(mg/kg),intervention,clinical_arm_id,NCT Number,clinical_age_groups,clinical_phases,clinical_sample_size,clinical_dosage_amount_value(mg),clinical_dosage_frequency,clinical_dosage_duration(days),clinical_total_doses,clinical_total_dosage_amount(mg),clinical_dose_escalation,clinical_administration_route,clinical_outcome,result_translation
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,35,NCT02453711,"ADULT,OLDER_ADULT",PHASE2,96,3.0,1 + every 1 day,364,364,1092.0,no,subcutaneous,-5.47,8.530000000000001
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,51,NCT00422058,"ADULT,OLDER_ADULT",PHASE2,94,1.2,1 + every 1 day,140,140,168.0,no,subcutaneous,-2.2072087435352685,11.792791256464731
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,52,NCT00422058,"ADULT,OLDER_ADULT",PHASE2,90,1.8,1 + every 1 day,140,140,252.0,no,subcutaneous,-2.9371604752653058,11.062839524734695
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,53,NCT00422058,"ADULT,OLDER_ADULT",PHASE2,92,2.4,1 + every 1 day,140,140,336.0,no,subcutaneous,-3.6240693851707295,10.375930614829269
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,54,NCT00422058,"ADULT,OLDER_ADULT",PHASE2,92,3.0,1 + every 1 day,140,140,420.0,no,subcutaneous,-4.711624106871794,9.288375893128206
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,61,NCT03158805,"ADULT,OLDER_ADULT",PHASE2,29,3.0,1 + every 1 day,280,280,840.0,no,subcutaneous,-3.5,10.5
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,102,NCT01272232,"ADULT,OLDER_ADULT",PHASE3,412,3.0,1 + every 1 day,392,392,1176.0,no,subcutaneous,-3.9,10.1
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,103,NCT01272232,"ADULT,OLDER_ADULT",PHASE3,204,1.8,1 + every 1 day,392,392,705.6,no,subcutaneous,-2.6,11.4
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,106,NCT01272219,"ADULT,OLDER_ADULT",PHASE3,2432,3.0,1 + every 1 day,392,392,1176.0,no,subcutaneous,-5.36,8.64
14,PMC10131131,0.2,2 + every 1 day,14,subcutaneous,77.0,105.0,,,C57BL/6J,mice,male,16.0,diet:high-fat+high-sugar,-14.0,28.0,5.6000000000000005,liraglutide,107,NCT01272219,"ADULT,OLDER_ADULT",PHASE3,1467,3.0,1 + every 1 day,1120,1120,3360.0,no,subcutaneous,-4.25,9.75
