,corr,p_val
ohe_4__preclinical_animal_species_Mice,0.2868555674077864,5.1505969657949125e-56
ohe_4__preclinical_animal_species_Rats,-0.26614305445991593,3.502073460432889e-48
ohe_7__preclinical_disease_model_streptozotocin,-0.21669891330988633,3.85579735631981e-32
ohe_3__preclinical_animal_strain_Zucker Diabetic Fatty,-0.20513135574355806,6.623760871890889e-29
ohe_3__preclinical_animal_strain_db/db,0.2036229102712441,1.693967685939534e-28
ohe_5__preclinical_animal_sex_female,0.1843012186872213,1.4781338326027503e-23
ohe_3__preclinical_animal_strain_ob/ob,0.13397119510020714,4.433028533351936e-13
scaler_8__preclinical_animal_weight_value(g),-0.1324551365620585,8.129491521646931e-13
ohe_3__preclinical_animal_strain_Sprague-Dawley,-0.11845874902465295,1.586861773706566e-10
ohe_7__preclinical_disease_model_genetic,0.11124880183039897,1.914154412156409e-09
ohe_3__preclinical_animal_strain_ICR,0.11028443038941259,2.639906155640228e-09
ohe_2__preclinical_administration_route_oral,-0.10785967484305214,5.8531242767198324e-09
ohe_2__preclinical_administration_route_subcutaneous,0.10781885810864232,5.931229336522375e-09
ohe_2__preclinical_administration_route_intragastric,0.10680808683558796,8.223058200801142e-09
ohe_3__preclinical_animal_strain_Psammomys obesus,-0.10508199325523995,1.426722905884178e-08
ohe_1__preclinical_dosage_amount_unit_g/kg,-0.10508199325523986,1.426722905884178e-08
ohe_4__preclinical_animal_species_Gerbillinae,-0.10508199325523995,1.426722905884178e-08
ohe_2__preclinical_administration_route_gastric intubation,-0.10508199325523995,1.426722905884178e-08
ohe_2__preclinical_administration_route_gavage,-0.10508199325523988,1.426722905884178e-08
ohe_3__preclinical_animal_strain_Kunming,-0.10508199325523997,1.426722905884178e-08
ohe_3__preclinical_animal_strain_C57BL/6NTac,-0.10135842725918812,4.547084411775126e-08
ohe_5__preclinical_animal_sex_Unknown,-0.09687096212078988,1.7424577695696088e-07
scaler_9__preclinical_animal_age(days),-0.09680612716145831,1.7758492430452653e-07
ohe_3__preclinical_animal_strain_Wistar,-0.08845369798120091,1.8511488517508333e-06
"ohe_14__clinical_phases_PHASE2,PHASE3",-0.08588221790236508,3.659038474456184e-06
ohe_7__preclinical_disease_model_streptozotocin+nicotinamide,-0.07950782609106614,1.8266602734262868e-05
ohe_3__preclinical_animal_strain_Spontaneously Diabetic Torii,0.07537059073627753,4.876719215547892e-05
ohe_3__preclinical_animal_strain_Unknown,0.07121216667317734,0.00012465415828214269
ohe_3__preclinical_animal_strain_C57BL/6NRj,0.07121216667317735,0.00012465415828215225
ohe_1__preclinical_dosage_amount_unit_nmol/kg,0.06977272509158103,0.0001705655165207959
ohe_17__clinical_dosage_frequency_1+every7days,0.06887893382038622,0.00020662761817736121
ohe_3__preclinical_animal_strain_C57BL/6J,0.06767168834538502,0.0002667864339344664
"ohe_13__clinical_age_groups_CHILD,ADULT,OLDER_ADULT",-0.0673312887035788,0.0002865078711633781
ohe_10__preclinical_dosage_frequency_Unknown,-0.06559743214131318,0.00040994995419664536
ohe_14__clinical_phases_Unknown,-0.06143480112709903,0.0009365553052418282
scaler_0__preclinical_dosage_amount_value,0.05872239474837031,0.0015638178212583293
ohe_3__preclinical_animal_strain_NONcNZO10/LtJ,0.05454913873725626,0.0033090414073010414
scaler_11__preclinical_dosage_duration(days),-0.05095279193432165,0.006077986113820863
ohe_1__preclinical_dosage_amount_unit_mg/kg,-0.05038782058186704,0.006666010222543139
ohe_17__clinical_dosage_frequency_1+every1days,-0.046629068049675045,0.012057100711766138
ohe_1__preclinical_dosage_amount_unit_μg/kg,0.04084277350906454,0.027902040579483187
ohe_13__clinical_age_groups_OLDER_ADULT,0.04066817073790884,0.02857839357609369
"ohe_13__clinical_age_groups_CHILD,ADULT",-0.0404283425848056,0.029530383907457148
"ohe_13__clinical_age_groups_ADULT,OLDER_ADULT",0.039792523007682025,0.03218719721897741
